Epoch,Train_Loss,Train_Accuracy,Validation_Loss,Validation_Accuracy
1,0.18628153407962436,0.9334821428571428,0.17256728648682318,0.9392857142857143
2,0.12665356853302845,0.9533482142857143,0.27346037766195813,0.9107142857142857
3,0.0972849908584962,0.9671875,0.17494067152288154,0.9419642857142857
4,0.0785246534487599,0.9716517857142857,0.15621766788127672,0.9526785714285714
5,0.053197141496628325,0.9823660714285715,0.20355999826964957,0.9491071428571428
6,0.06143915205526146,0.9792410714285714,0.11748628764821265,0.9696428571428571
7,0.04360574596141846,0.9859375,0.1327577113617896,0.9678571428571429
8,0.03878998966622004,0.9875,0.0899054193168439,0.96875
9,0.039224569913255944,0.9863839285714285,0.1053534693812803,0.9732142857142857
10,0.029902816017270364,0.9892857142857143,0.07986820193354781,0.98125
